id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
131,年,U+5E74,年,,nian2,干,6,no,先韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,一年|年份|年龄|岁月|春节或年节,年：现代主要用于表示一年；年份；年龄；岁月；春节或年节。常见用法如：今年、年龄、过年、年纪、年成。,谷物成熟或收成周期。,一年|年份|年龄|岁月|春节或年节,年从农业收成周期到历法单位，是农耕时间观的核心字。
132,时,U+65F6,時|时,U+6642,shi2,日,7,no,之韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,时间|时刻|时机|时代|时常,时：现代主要用于表示时间；时刻；时机；时代；时常。常见用法如：时间、时候、时代、时机、小时。,时令、季节或合宜时刻。,时间|时刻|时机|时代|时常,时/時有多个古异体，后续应补旹、峕等形体链。
133,朝,U+671D,朝,,chao2|zhao1,月,12,no,宵韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,早晨|朝见或朝廷|朝代|向着,朝：现代主要用于表示早晨；朝见或朝廷；朝代；向着。常见用法如：朝阳、朝廷、朝代、朝向、今朝。,早晨。,早晨|朝见或朝廷|朝代|向着,朝 zhao1 与 chao2 音义分化明显，需单独拆义。
134,夕,U+5915,夕,,xi1,夕,3,yes,昔韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,傍晚|夜晚|某一日的前夜,夕：现代主要用于表示傍晚；夜晚；某一日的前夜。常见用法如：夕阳、朝夕、前夕、除夕、七夕。,傍晚，日落月出之时。,傍晚|夜晚|某一日的前夜,夕和月、夜、暮关系密切；夕偏傍晚，夜偏黑夜时段。
135,夜,U+591C,夜,,ye4,夕,8,no,祃韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,夜晚|夜间|黑暗时段|与昼相对的时间,夜：现代主要用于表示夜晚；夜间；黑暗时段；与昼相对的时间。常见用法如：夜晚、黑夜、夜间、半夜、昼夜。,夜晚，天黑的时间。,夜晚|夜间|黑暗时段|与昼相对的时间,夜的说文训释偏义理，现代字段应以昼夜时段义为主。
136,春,U+6625,春|萅,,chun1,日,9,no,谆韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,春季|青春|生机|男女情欲相关义,春：现代主要用于表示春季；青春；生机；男女情欲相关义。常见用法如：春天、春节、青春、春风、春色。,春季，草木萌发生长之时。,春季|青春|生机|男女情欲相关义,春的季节义与生机义清晰，情感引申需单列。
137,夏,U+590F,夏,,xia4,夂,10,no,马韵、祃韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,夏季|中国古代朝代名|华夏相关,夏：现代主要用于表示夏季；中国古代朝代名；华夏相关。常见用法如：夏天、夏季、华夏、夏朝、盛夏。,大、华夏等传统义源，季节义需复核。,夏季|中国古代朝代名|华夏相关,夏不是单纯季节象形字，华夏族称、朝代、季节义需分层。
138,秋,U+79CB,秋|秌,,qiu1,禾,9,no,尤韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,秋季|收获季节|一年或岁月|某种关键时刻,秋：现代主要用于表示秋季；收获季节；一年或岁月；某种关键时刻。常见用法如：秋天、秋季、中秋、春秋、千秋。,禾谷成熟、收获季节。,秋季|收获季节|一年或岁月|某种关键时刻,秋的早期构形存在不同解释，收获季节义较稳定。
139,冬,U+51AC,冬,,dong1,夂,5,no,冬韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,冬季|寒冷时节|一年末季,冬：现代主要用于表示冬季；寒冷时节；一年末季。常见用法如：冬天、冬季、寒冬、冬眠、冬至。,一年终结时段或冬季，具体字源需复核。,冬季|寒冷时节|一年末季,冬与终在语义上有关联，但构形关系需谨慎。
140,早,U+65E9,早,,zao3,日,6,no,皓韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,早晨|时间在前|提前|早已,早：现代主要用于表示早晨；时间在前；提前；早已。常见用法如：早上、早晨、早饭、早已、提早。,早晨。,早晨|时间在前|提前|早已,早与朝、旦、晨后续应并入清晨语义组。
141,晚,U+665A,晚|晩,,wan3,日,11,no,阮韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,晚上|时间迟|后来的|晚年,晚：现代主要用于表示晚上；时间迟；后来的；晚年。常见用法如：晚上、晚饭、晚年、迟晚、晚辈。,日暮、傍晚。,晚上|时间迟|后来的|晚年,晚是后起常用时间字，甲骨层不宜强行上推。
142,昼,U+663C,晝,U+665D,zhou4,日,9,no,宥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,白天|与夜相对的时段,昼：现代主要用于表示白天；与夜相对的时段。常见用法如：白昼、昼夜、昼伏夜出、昼间。,白天。,白天|与夜相对的时段,昼/晝与夜成对，繁简差异需图示。
143,今,U+4ECA,今,,jin1,人,4,no,侵韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,现在|今天|现代|此后,今：现代主要用于表示现在；今天；现代；此后。常见用法如：今天、如今、今年、今后、古今。,现在、当下。,现在|今天|现代|此后,今与古是时间指示对，构形解释需后续补强。
144,古,U+53E4,古,,gu3,口,5,no,姥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,古代|古老|古朴|古怪,古：现代主要用于表示古代；古老；古朴；古怪。常见用法如：古代、古人、古今、古老、古怪。,久远的过去。,古代|古老|古朴|古怪,古的‘前言相传’解释有传统色彩，时间义稳定。
145,来,U+6765,來,U+4F86,lai2,木,7,no,咍韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,来到|未来|以来|趋向说话者|用作助词,来：现代主要用于表示来到；未来；以来；趋向说话者；用作助词。常见用法如：回来、未来、以来、来往、看来。,麦类植物，后假借为到来。,来到|未来|以来|趋向说话者|用作助词,来/來是假借义占主导的关键样板。
146,去,U+53BB,去,,qu4,厶,5,no,御韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,离开|前往|除掉|过去|距离,去：现代主要用于表示离开；前往；除掉；过去；距离。常见用法如：出去、去年、去掉、过去、去处。,离开或除去，具体形源需复核。,离开|前往|除掉|过去|距离,去与来构成趋向对，另有声调名‘去声’需单列。
147,始,U+59CB,始,,shi3,女,8,no,止韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,开始|最初|才|始祖或源头,始：现代主要用于表示开始；最初；才；始祖或源头。常见用法如：开始、始终、原始、始祖、初始。,开始。,开始|最初|才|始祖或源头,始的说文训释需与现代起始义分层，不宜过度性别化解释。
148,终,U+7EC8,終,U+7D42,zhong1,纟,8,no,东韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,结束|最后|始终|终身|到底,终：现代主要用于表示结束；最后；始终；终身；到底。常见用法如：终于、始终、终点、最终、终身。,丝线末端或终结。,结束|最后|始终|终身|到底,终与冬在声义上相关，需与始、冬建立关联。
