id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
013,星,U+661F,星,,xing1,日,9,no,青韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,天体|细碎或零散的点|明星或杰出人物,星：现代主要用于表示天体；细碎或零散的点；明星或杰出人物。常见用法如：星星、星辰、星空、明星、零星。,夜空中发光的天体。,天体|细碎或零散的点|明星或杰出人物,早期构形需结合甲金文字形图像进一步复核。
014,云,U+4E91,云|雲,U+96F2,yun2,二,4,no,文韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,云彩|像云一样的事物|云计算等新义,云：现代主要用于表示云彩；像云一样的事物；云计算等新义。常见用法如：云彩、白云、风云、云端、云计算。,云气、云彩。,云彩|像云一样的事物|云计算等新义,“云/雲”的古今分工是简繁转换的重要样板。
015,雨,U+96E8,雨,,yu3|yu4,雨,8,no,麌韵、遇韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,雨水|下雨|像雨一样落下的事物,雨：现代主要用于表示雨水；下雨；像雨一样落下的事物。常见用法如：下雨、雨水、风雨、雨季、暴雨。,从云层降落的水。,雨水|下雨|像雨一样落下的事物,现代常读 yu3，动词古读和文言读音需另作音义分流。
016,雷,U+96F7,雷,,lei2,雨,13,no,灰韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,雷声|军事爆炸物|比喻突然或强烈的震动,雷：现代主要用于表示雷声；军事爆炸物；比喻突然或强烈的震动。常见用法如：雷声、打雷、雷雨、地雷、雷霆。,雷声，雷雨时的巨大声响。,雷声|军事爆炸物|比喻突然或强烈的震动,早期形体与“畾”等构件关系需后续用字源图谱复核。
017,风,U+98CE,風,U+98A8,feng1,风,4,no,东韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,空气流动|风俗|风格|消息或传闻|景象,风：现代主要用于表示空气流动；风俗；风格；消息或传闻；景象。常见用法如：大风、风雨、风俗、风格、风景。,空气流动的自然现象。,空气流动|风俗|风格|消息或传闻|景象,简体“风”与繁体“風”的字形关系需在形体链中明确展示。
018,山,U+5C71,山,,shan1,山,3,no,山韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,山岳|形状像山的东西|姓氏或地名构件,山：现代主要用于表示山岳；形状像山的东西；姓氏或地名构件。常见用法如：高山、山水、山地、山河、山峰。,地面高耸的大型土石隆起。,山岳|形状像山的东西|姓氏或地名构件,说文训释偏义理化，字形本身以象山峰为主。
019,水,U+6C34,水,,shui3,水,4,no,旨韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水|河流湖海等水体|液体|某些费用或品质状态,水：现代主要用于表示水；河流湖海等水体；液体；某些费用或品质状态。常见用法如：水流、河水、水分、水平、水果。,水流、液态水。,水|河流湖海等水体|液体|某些费用或品质状态,五行义和自然水体义应分层处理。
020,川,U+5DDD,川,,chuan1,巛,3,no,仙韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,河流|山间或平原中的水道|四川简称,川：现代主要用于表示河流；山间或平原中的水道；四川简称。常见用法如：山川、河川、川流、四川、川菜。,河流。,河流|山间或平原中的水道|四川简称,“川”与“水”的部件分工后续应并入自然水系字段。
021,石,U+77F3,石,,shi2|dan4,石,5,yes,昔韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,石头|石制品|矿物相关|容量单位,石：现代主要用于表示石头；石制品；矿物相关；容量单位。常见用法如：石头、石山、石器、宝石、一石粮。,石头、岩石。,石头|石制品|矿物相关|容量单位,现代多音 shi2/dan4 需在后续字音字段中分义标注。
022,土,U+571F,土,,tu3,土,3,no,姥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,泥土|土地|本地的|不时髦或不洋气|五行之一,土：现代主要用于表示泥土；土地；本地的；不时髦或不洋气；五行之一。常见用法如：土地、土壤、乡土、土气、水土。,泥土、土地。,泥土|土地|本地的|不时髦或不洋气|五行之一,“土”与“地”语义相近，但“土”更偏材料和本土属性。
