id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
001,天,U+5929,天,,tian1,大,4,no,先韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,天空|自然界|一天|季节或天气|某些人体部位称谓,天：现代主要用于表示天空；自然界；一天；季节或天气；某些人体部位称谓。常见用法如：天空、今天、天气、天命、天下。,人的头顶，后引申为最高处。,天空|自然界|一天|季节或天气|某些人体部位称谓,字源主线较稳定，可作为第一批核心自然字样板。
002,地,U+5730,地,,di4|de,土,6,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,土地|地方|地位或处境|助词“地”,地：现代主要用于表示土地；地方；地位或处境；助词“地”。常见用法如：大地、地方、土地、地位、慢慢地。,土地、大地，与“天”相对。,土地|地方|地位或处境|助词“地”,“也”的构形解释存在不同说法，后续应补充权威字源书校验。
003,日,U+65E5,日,,ri4,日,4,yes,质韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,太阳|日子|白天|每天|日本简称,日：现代主要用于表示太阳；日子；白天；每天；日本简称。常见用法如：日光、今日、日子、日夜、日本。,太阳。,太阳|日子|白天|每天|日本简称,适合标记“古入声 -> 普通话去声”的音韵变化样板。
004,月,U+6708,月,,yue4,月,4,yes,月韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,月亮|月份|按月发生或计算,月：现代主要用于表示月亮；月份；按月发生或计算。常见用法如：月光、月份、月亮、岁月、月刊。,月亮。,月亮|月份|按月发生或计算,独体“月”和肉月旁在后续部件整理中应分开处理。
005,人,U+4EBA,人,,ren2,人,2,no,真韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,人类|别人|成年人|从事某种职业或具有某种身份的人,人：现代主要用于表示人类；别人；成年人；从事某种职业或具有某种身份的人。常见用法如：人民、人生、别人、工人、人才。,人，能直立行走和社会生活的主体。,人类|别人|成年人|从事某种职业或具有某种身份的人,“人”也作为部件参与大量合体字构形，后续应建立部件索引。
006,文,U+6587,文,,wen2,文,4,no,文韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,文字|文章|文化|文科|温和不粗野,文：现代主要用于表示文字；文章；文化；文科；温和不粗野。常见用法如：文字、文章、文化、文雅、文科。,纹理、花纹、纹饰。,文字|文章|文化|文科|温和不粗野,“文”和“字”的古义分工是本项目的重要基础概念。
007,字,U+5B57,字,,zi4,子,6,no,寘韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,文字记录单位|字音、字义、字形|字迹|表字或字号,字：现代主要用于表示文字记录单位；字音、字义、字形；字迹；表字或字号。常见用法如：汉字、写字、字典、字迹、名字。,生育、抚育子女。,文字记录单位|字音、字义、字形|字迹|表字或字号,“字”的本义和现代“文字”义差异较大，适合做语义演变示范。
008,道,U+9053,道,,dao4,辶,12,no,号韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,道路|方向或方法|道理|说|量词|道教相关称谓,道：现代主要用于表示道路；方向或方法；道理；说；量词；道教相关称谓。常见用法如：道路、道理、知道、说道、一道。,道路，行走之路。,道路|方向或方法|道理|说|量词|道教相关称谓,“道”的哲学义极重，后续应单列“抽象义/思想义”来源层级。
009,法,U+6CD5,法|灋,,fa3,氵,8,yes,乏韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,法律|方法|标准或模范|效法|法国简称,法：现代主要用于表示法律；方法；标准或模范；效法；法国简称。常见用法如：法律、办法、方法、法官、合法。,刑法、法度、公平裁判。,法律|方法|标准或模范|效法|法国简称,“廌”神兽辨狱解释流传广，但早期字形证据和训诂细节需重点复核。
010,国,U+56FD,國|或|囶|圀,U+570B,guo2,囗,8,yes,德韵或职部系统相关,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,国家|代表国家的|本国的|某些国家简称用字,国：现代主要用于表示国家；代表国家的；本国的；某些国家简称用字。常见用法如：国家、中国、国土、国民、国有。,有城邑、疆界和武备守护的邦国或地域。,国家|代表国家的|本国的|某些国家简称用字,需严格区分“国” U+56FD 与“國” U+570B；现有视觉素材中应同步校正。
