id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
108,一,U+4E00,一,,yi1,一,1,yes,质韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一|同一|统一|全或满|表示动作短暂,一：现代主要用于表示数字一；同一；统一；全或满；表示动作短暂。常见用法如：一个、一起、统一、一定、一会儿。,数字一。,数字一|同一|统一|全或满|表示动作短暂,一的现代变调需后续在现代音系层单列。
109,二,U+4E8C,二,,er4,二,2,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字二|第二|两样或不一致|不专一,二：现代主要用于表示数字二；第二；两样或不一致；不专一。常见用法如：二人、第二、二月、二心、二手。,数字二。,数字二|第二|两样或不一致|不专一,二与两的分工是现代数量表达的重要问题，后续应单列。
110,三,U+4E09,三,,san1,一,3,no,谈韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字三|第三|多次或多数虚指,三：现代主要用于表示数字三；第三；多次或多数虚指。常见用法如：三个、三月、第三、再三、三思。,数字三。,数字三|第三|多次或多数虚指,三常作虚数表示多，后续应记录数字的虚指功能。
111,十,U+5341,十,,shi2,十,2,yes,缉韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字十|十分或很|完整或全,十：现代主要用于表示数字十；十分或很；完整或全。常见用法如：十个、十分、十足、十全十美、十月。,数字十。,数字十|十分或很|完整或全,十的完整义由十进制完备感引申，适合作数量系统核心字。
112,百,U+767E,百,,bai3,白,6,yes,陌韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一百|许多|百分比|各种,百：现代主要用于表示数字一百；许多；百分比；各种。常见用法如：一百、百姓、百分、百货、百年。,一百，十个十。,数字一百|许多|百分比|各种,百的构形与白关系需谨慎，第一版先保留传统说法。
113,千,U+5343,千,,qian1,十,3,no,先韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一千|很多|极多或反复,千：现代主要用于表示数字一千；很多；极多或反复。常见用法如：一千、千万、千古、千里、千方百计。,一千，十个百。,数字一千|很多|极多或反复,千的数量义稳定，但构形细节需后续校验。
114,万,U+4E07,万|萬,U+842C,wan4|mo4,一,3,no,愿韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一万|极多|完全或绝对|姓氏,万：现代主要用于表示数字一万；极多；完全或绝对；姓氏。常见用法如：一万、万物、万一、千万、万能。,“萬”本义常说为虫类，后借为数目一万。,数字一万|极多|完全或绝对|姓氏,万/萬是简化、假借、本义分离的重要样板。
115,大,U+5927,大,,da4|dai4,大,3,no,泰韵、箇韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,大|程度深|年长|重要|排行第一,大：现代主要用于表示大；程度深；年长；重要；排行第一。常见用法如：大小、大人、大学、大约、大哥。,人形张大，引申为大。,大|程度深|年长|重要|排行第一,大与人、天的构形关系在前批已有呼应。
116,小,U+5C0F,小,,xiao3,小,3,no,小韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,小|年幼|少或轻微|地位低|谦称或亲昵称呼,小：现代主要用于表示小；年幼；少或轻微；地位低；谦称或亲昵称呼。常见用法如：大小、小孩、小心、小说、小事。,微小。,小|年幼|少或轻微|地位低|谦称或亲昵称呼,小的物理小、年龄小、地位小应分义处理。
117,长,U+957F,長,U+9577,chang2|zhang3,长,4,no,阳韵、养韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,长度大|时间久|擅长|生长|年长或首领,长：现代主要用于表示长度大；时间久；擅长；生长；年长或首领。常见用法如：长短、长久、成长、长官、擅长。,长，或长发年长形象。,长度大|时间久|擅长|生长|年长或首领,长 chang2/zhang3 音义分流很重要，后续应拆义项。
118,短,U+77ED,短,,duan3,矢,12,no,缓韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,长度小|时间少|缺点|亏欠或不足,短：现代主要用于表示长度小；时间少；缺点；亏欠或不足。常见用法如：长短、短处、短期、短缺、短见。,不长。,长度小|时间少|缺点|亏欠或不足,短的构形解释传统色彩较强，需结合字源专书复核。
119,高,U+9AD8,高,,gao1,高,10,no,豪韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,高度大|等级高|程度高|高明|敬辞,高：现代主要用于表示高度大；等级高；程度高；高明；敬辞。常见用法如：高山、高低、高兴、高级、高明。,高大的建筑或高处。,高度大|等级高|程度高|高明|敬辞,高的空间义和社会等级义扩展清晰。
120,低,U+4F4E,低,,di1,亻,7,no,齐韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,高度小|等级低|程度小|声音低|俯下,低：现代主要用于表示高度小；等级低；程度小；声音低；俯下。常见用法如：高低、低头、降低、低级、低声。,低下，位置在下。,高度小|等级低|程度小|声音低|俯下,低相对高属于后起形声字，字源链不宜强行上推到甲骨。
121,阴,U+9634,陰,U+9670,yin1,阝,6,no,侵韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,阴暗|云雨天气|阴性|隐秘|阴阳之阴,阴：现代主要用于表示阴暗；云雨天气；阴性；隐秘；阴阳之阴。常见用法如：阴天、阴阳、阴影、阴性、阴谋。,山北或水南背日处，阴暗。,阴暗|云雨天气|阴性|隐秘|阴阳之阴,阴/陽必须成对整理，涉及自然方位、性别、哲学多层义。
122,阳,U+9633,陽,U+967D,yang2,阝,6,no,阳韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,阳光|太阳|阳性|外露|阴阳之阳,阳：现代主要用于表示阳光；太阳；阳性；外露；阴阳之阳。常见用法如：太阳、阳光、阴阳、阳性、向阳。,山南或水北向日处，明亮。,阳光|太阳|阳性|外露|阴阳之阳,阳的自然方位义、太阳义、哲学义需分层。
123,自,U+81EA,自,,zi4,自,6,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,自己|亲自|自然|从或由|起始来源,自：现代主要用于表示自己；亲自；自然；从或由；起始来源。常见用法如：自己、自然、自从、自动、自信。,鼻子。,自己|亲自|自然|从或由|起始来源,自与鼻的关系已在鼻字中出现，应建立互链。
124,至,U+81F3,至,,zhi4,至,6,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,到|达到极点|最|至于|甚至,至：现代主要用于表示到；达到极点；最；至于；甚至。常见用法如：至今、到至、甚至、至于、至高。,到达。,到|达到极点|最|至于|甚至,至是空间到达义向程度极点义扩展的核心字。
125,上,U+4E0A,上,,shang4|shang3,一,3,no,养韵、漾韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,上方|等级高|前一|到某处去|进行或添加,上：现代主要用于表示上方；等级高；前一；到某处去；进行或添加。常见用法如：上面、上午、上级、上学、上一年。,上方。,上方|等级高|前一|到某处去|进行或添加,上是指事字，空间、时间、等级义需分层。
126,下,U+4E0B,下,,xia4,一,3,no,马韵、祃韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,下方|等级低|后一个|向下移动|结束或离开,下：现代主要用于表示下方；等级低；后一个；向下移动；结束或离开。常见用法如：下面、下午、下级、下雨、下班。,下方。,下方|等级低|后一个|向下移动|结束或离开,下与上成对，是方位、等级、时间转喻基础。
