id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
091,宫,U+5BAB,宮,U+5BAE,gong1,宀,9,no,东韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,宫殿|宫廷|庙宇或文化建筑|身体腔室|五音之一,宫：现代主要用于表示宫殿；宫廷；庙宇或文化建筑；身体腔室；五音之一。常见用法如：宫殿、故宫、宫廷、子宫、宫商。,房屋、居室群。,宫殿|宫廷|庙宇或文化建筑|身体腔室|五音之一,宫本义较宽，后世才强烈宫廷化；需与室、宅、家分层。
092,室,U+5BA4,室,,shi4,宀,9,yes,质韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,房间|机关学校等内部单位|家或妻室|墓室等封闭空间,室：现代主要用于表示房间；机关学校等内部单位；家或妻室；墓室等封闭空间。常见用法如：教室、室内、办公室、卧室、家室。,房屋内部空间。,房间|机关学校等内部单位|家或妻室|墓室等封闭空间,室的家庭义和现代机构房间义需分层。
093,宅,U+5B85,宅,,zhai2,宀,6,yes,陌韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,住宅|居住|家宅|长期待在家中的状态,宅：现代主要用于表示住宅；居住；家宅；长期待在家中的状态。常见用法如：住宅、宅院、家宅、宅基地、宅男。,住所、居处。,住宅|居住|家宅|长期待在家中的状态,现代网络义“宅”应作为很晚近引申，不进入古义主线。
094,户,U+6237,戶|户,U+6236,hu4,户,4,no,姥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,门|住户|家庭单位|账户|门第,户：现代主要用于表示门；住户；家庭单位；账户；门第。常见用法如：门户、住户、户口、账户、千家万户。,单扇门。,门|住户|家庭单位|账户|门第,户与门的单扇/双扇区分是居所字组的关键。
095,门,U+95E8,門,U+9580,men2,门,3,no,魂韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,门|出入口|种类|门派或学派|途径,门：现代主要用于表示门；出入口；种类；门派或学派；途径。常见用法如：大门、门口、部门、门类、门路。,双扇门。,门|出入口|种类|门派或学派|途径,门/門繁简差异明确，门部字需统一映射。
096,车,U+8F66,車,U+8ECA,che1|ju1,车,4,no,麻韵、鱼韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,车辆|机器部件或车床|象棋棋子|用车加工,车：现代主要用于表示车辆；机器部件或车床；象棋棋子；用车加工。常见用法如：汽车、火车、车轮、车站、车床。,有轮的交通工具。,车辆|机器部件或车床|象棋棋子|用车加工,车的 ju1 读音主要见棋子等，需在音义字段分流。
097,舟,U+821F,舟,,zhou1,舟,6,no,尤韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,船|水上交通工具|舟部字义部件,舟：现代主要用于表示船；水上交通工具；舟部字义部件。常见用法如：小舟、舟船、龙舟、轻舟、刻舟求剑。,船。,船|水上交通工具|舟部字义部件,舟和船、舶等后起字应作为水上交通小组整理。
098,器,U+5668,器,,qi4,口,16,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,器具|器械|器官|人的才能或度量|重视,器：现代主要用于表示器具；器械；器官；人的才能或度量；重视。常见用法如：机器、器官、武器、乐器、器重。,器皿、用具。,器具|器械|器官|人的才能或度量|重视,器的构形解释传统色彩较强，需配合甲金文字形复核。
099,皿,U+76BF,皿,,min3,皿,5,no,梗韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,器皿|容器|皿部字义部件,皿：现代主要用于表示器皿；容器；皿部字义部件。常见用法如：器皿、皿器、皿部。,盛食物或液体的器具。,器皿|容器|皿部字义部件,皿现代单字不高频，但作为部件极重要。
100,刀,U+5200,刀,,dao1,刀,2,no,豪韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,刀具|兵器|刀形工具|量词|刀部字义部件,刀：现代主要用于表示刀具；兵器；刀形工具；量词；刀部字义部件。常见用法如：小刀、菜刀、刀剑、刀片、一刀纸。,刀具。,刀具|兵器|刀形工具|量词|刀部字义部件,刀与刂旁需建立部件映射。
101,弓,U+5F13,弓,,gong1,弓,3,no,东韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,弓|弓形物|弯曲|弓部字义部件,弓：现代主要用于表示弓；弓形物；弯曲；弓部字义部件。常见用法如：弓箭、弯弓、弓形、弹弓、弓背。,弓，射箭工具。,弓|弓形物|弯曲|弓部字义部件,弓与矢、射、张等字后续应组成武器/运动小组。
102,衣,U+8863,衣,,yi1|yi4,衣,6,no,微韵、未韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,衣服|穿衣|覆盖物|衣部字义部件,衣：现代主要用于表示衣服；穿衣；覆盖物；衣部字义部件。常见用法如：衣服、上衣、衣食、穿衣、雨衣。,衣服。,衣服|穿衣|覆盖物|衣部字义部件,衣的名词 yi1 与动词 yi4 需在后续音义层分开。
103,食,U+98DF,食,,shi2|si4|yi4,食,9,yes,职韵、志韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,食物|吃|供养|食粮|天体被遮蔽,食：现代主要用于表示食物；吃；供养；食粮；天体被遮蔽。常见用法如：食物、食品、饮食、粮食、日食。,食物、吃饭。,食物|吃|供养|食粮|天体被遮蔽,食多音多义，si4 饲养义、yi4 人名古读需另列。
104,井,U+4E95,井,,jing3,二,4,no,静韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水井|井状物|整齐|矿井等深洞,井：现代主要用于表示水井；井状物；整齐；矿井等深洞。常见用法如：水井、井口、矿井、井然、井田。,水井。,水井|井状物|整齐|矿井等深洞,井的字形源头与井田制度解释需分开。
