id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
055,王,U+738B,王,,wang2|wang4,王,4,no,阳韵、漾韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,君主|一类中居首者|称王或统治|姓氏,王：现代主要用于表示君主；一类中居首者；称王或统治；姓氏。常见用法如：王国、君王、王者、王后、称王。,最高统治者或王权象征。,君主|一类中居首者|称王或统治|姓氏,王字早期构形有权杖、斧钺、贯通天地人等不同解释，需专书复核。
056,臣,U+81E3,臣,,chen2,臣,6,no,真韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,臣子|君主时代的官吏|自谦称谓|使臣服,臣：现代主要用于表示臣子；君主时代的官吏；自谦称谓；使臣服。常见用法如：大臣、臣子、君臣、臣服、功臣。,服属者、奴仆或臣属。,臣子|君主时代的官吏|自谦称谓|使臣服,“臣”的男性奴隶、战俘、官吏义层次需在后续来源中细分。
057,君,U+541B,君,,jun1,口,7,no,文韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,君主|尊称|对男子或朋友的称呼|姓氏,君：现代主要用于表示君主；尊称；对男子或朋友的称呼；姓氏。常见用法如：君主、国君、君子、诸君、君臣。,发号施令、治理众人的尊者。,君主|尊称|对男子或朋友的称呼|姓氏,君与尹、口的构件关系较清楚，但具体早期用例仍需补文献。
058,主,U+4E3B,主,,zhu3,丶,5,no,麌韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,主人|主要|主持或掌管|主张|牌位或神主,主：现代主要用于表示主人；主要；主持或掌管；主张；牌位或神主。常见用法如：主人、主要、主席、主动、主张。,灯中主火或中心所在，传统解释需复核。,主人|主要|主持或掌管|主张|牌位或神主,主的字形解释传统色彩较强，需结合甲骨金文材料复核。
059,奴,U+5974,奴,,nu2,女,5,no,模韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,奴隶|奴仆|受压迫役使者|贬称,奴：现代主要用于表示奴隶；奴仆；受压迫役使者；贬称。常见用法如：奴隶、奴仆、奴才、家奴、奴役。,受役使的人。,奴隶|奴仆|受压迫役使者|贬称,奴字涉及古代身份制度，释义应避免现代化美化或弱化。
060,父,U+7236,父,,fu4|fu3,父,4,no,麌韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,父亲|男性长辈|某些尊称中的父,父：现代主要用于表示父亲；男性长辈；某些尊称中的父。常见用法如：父亲、父母、父子、祖父、父老。,父亲或父辈家长。,父亲|男性长辈|某些尊称中的父,父字手持工具/斧杖解释需结合字形图进一步校验。
061,母,U+6BCD,母,,mu3,母,5,no,厚韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,母亲|雌性的|产生或养育事物的来源|母体,母：现代主要用于表示母亲；雌性的；产生或养育事物的来源；母体。常见用法如：母亲、父母、母子、母语、母校。,母亲。,母亲|雌性的|产生或养育事物的来源|母体,母与女的形体关系清楚，具体说文训释需与现代字源解释分层。
062,兄,U+5144,兄,,xiong1,儿,5,no,庚韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,哥哥|兄长|朋友间男性称谓,兄：现代主要用于表示哥哥；兄长；朋友间男性称谓。常见用法如：兄弟、兄长、兄妹、仁兄、师兄。,兄长，同父母或同族同辈中年长的男子。,哥哥|兄长|朋友间男性称谓,兄的口部构意存在多说，第一版仅保守处理为称谓字。
063,弟,U+5F1F,弟,,di4,弓,7,no,荠韵、霁韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,弟弟|同辈中年幼男子|门生或后辈|自谦称,弟：现代主要用于表示弟弟；同辈中年幼男子；门生或后辈；自谦称。常见用法如：弟弟、兄弟、子弟、师弟、弟子。,同辈中年幼的男子，具体字源需复核。,弟弟|同辈中年幼男子|门生或后辈|自谦称,弟与第、悌存在音义关系，后续应作为次序/宗法字组处理。
064,祖,U+7956,祖,,zu3,礻,9,no,姥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,祖先|开创者|事业或学派源头|祖国相关构词,祖：现代主要用于表示祖先；开创者；事业或学派源头；祖国相关构词。常见用法如：祖先、祖父、祖宗、祖国、鼻祖。,祖庙或祖先神主。,祖先|开创者|事业或学派源头|祖国相关构词,祖的宗庙义是理解宗法系统的关键，应与宗、庙、示部联动。
