id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
074,行,U+884C,行,,xing2|hang2|hang4|heng2,行,6,no,庚韵、唐韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,走或行动|实行|行业|行列|可以或能干,行：现代主要用于表示走或行动；实行；行业；行列；可以或能干。常见用法如：行动、行走、银行、行业、不行。,道路。,走或行动|实行|行业|行列|可以或能干,行是多音多义核心字，应后续拆成道路义、动作义、行业义、许可义。
075,走,U+8D70,走,,zou3,走,7,no,厚韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行走|离开|移动或运行|经过某路线|趋向变化,走：现代主要用于表示行走；离开；移动或运行；经过某路线；趋向变化。常见用法如：走路、走开、走动、行走、出走。,跑、奔走。,行走|离开|移动或运行|经过某路线|趋向变化,古代“走”多为跑，现代“走”多为步行，是古今义位变化的重点样板。
076,跑,U+8DD1,跑,,pao3|pao2,足,12,no,肴韵一类，待复核,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,奔跑|逃离|为某事奔走|物体漏出或偏离,跑：现代主要用于表示奔跑；逃离；为某事奔走；物体漏出或偏离。常见用法如：跑步、奔跑、逃跑、跑腿、跑题。,足部动作，后专指奔跑。,奔跑|逃离|为某事奔走|物体漏出或偏离,跑的古义与现代义不完全等同，需后续用韵书和早期文献补证。
077,飞,U+98DE,飛,U+98DB,fei1,飞,3,no,微韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,飞行|快速移动|飘扬|传播|意外或凭空,飞：现代主要用于表示飞行；快速移动；飘扬；传播；意外或凭空。常见用法如：飞翔、飞机、飞快、飞扬、飞来横祸。,鸟飞。,飞行|快速移动|飘扬|传播|意外或凭空,飞/飛繁简差异大，应在图像层展示简化过程。
078,止,U+6B62,止,,zhi3,止,4,no,止韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,停止|阻止|截止|仅仅或只,止：现代主要用于表示停止；阻止；截止；仅仅或只。常见用法如：停止、禁止、止步、为止、不止。,脚、足迹或脚趾。,停止|阻止|截止|仅仅或只,止的本形为足迹，现代停止义是关键引申，需和足、走、步连读。
079,立,U+7ACB,立,,li4,立,5,yes,缉韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,站立|竖起|建立|成立|立刻,立：现代主要用于表示站立；竖起；建立；成立；立刻。常见用法如：站立、成立、立场、立即、建立。,站立。,站立|竖起|建立|成立|立刻,立是从身体姿态到制度建立的典型抽象化字。
080,坐,U+5750,坐,,zuo4,土,7,no,过韵、果韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,坐下|乘坐|建筑物位置|因某事而获罪或受牵连|不劳动而享有,坐：现代主要用于表示坐下；乘坐；建筑物位置；因某事而获罪或受牵连；不劳动而享有。常见用法如：坐下、坐车、坐落、坐牢、坐享其成。,席地而坐。,坐下|乘坐|建筑物位置|因某事而获罪或受牵连|不劳动而享有,坐的法律义“坐罪”和姿态义应分义处理。
081,卧,U+5367,臥,U+81E5,wo4,卜,8,no,过韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,躺下|睡觉|横放|潜伏|卧室相关,卧：现代主要用于表示躺下；睡觉；横放；潜伏；卧室相关。常见用法如：卧室、卧倒、卧病、卧铺、卧底。,躺卧。,躺下|睡觉|横放|潜伏|卧室相关,卧/臥简繁结构差异大，现代简体部首归类和字源构形需分开说明。
082,视,U+89C6,視,U+8996,shi4,见,8,no,纸韵、寘韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,看|看待|考察|比照|视觉相关,视：现代主要用于表示看；看待；考察；比照；视觉相关。常见用法如：视觉、视力、重视、视察、电视。,看、察看。,看|看待|考察|比照|视觉相关,视与见、看、目系统相关，后续应建立视觉动词组。
083,听,U+542C,聽,U+807D,ting1,口,7,no,青韵、径韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,听见|听从|听任|审理或裁断|听觉活动,听：现代主要用于表示听见；听从；听任；审理或裁断；听觉活动。常见用法如：听见、听话、听从、听力、听证。,用耳接受声音。,听见|听从|听任|审理或裁断|听觉活动,听/聽简繁关系复杂，简体“听”的历史用法需单列复核。
084,言,U+8A00,言,,yan2,言,7,no,元韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,说话|话语|字句|言论|言部构字部件,言：现代主要用于表示说话；话语；字句；言论；言部构字部件。常见用法如：语言、言语、发言、名言、言论。,说话，表达。,说话|话语|字句|言论|言部构字部件,言和语需要作为言语系统的两个基础层级并读。
085,语,U+8BED,語,U+8A9E,yu3|yu4,讠,9,no,语韵、御韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,话|语言|说|语句或语法单位,语：现代主要用于表示话；语言；说；语句或语法单位。常见用法如：语言、语文、语气、外语、语法。,谈论、言语。,话|语言|说|语句或语法单位,语的现代学科义和古代论难/告诉义应分层。
086,作,U+4F5C,作,,zuo4|zuo1,亻,7,yes,铎韵、暮韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,做|创作|当作|发作|装作,作：现代主要用于表示做；创作；当作；发作；装作。常见用法如：工作、作文、作为、创作、作业。,兴起、开始做事。,做|创作|当作|发作|装作,作有入声和去声层次，现代 zuo1 口语义需另列。
087,用,U+7528,用,,yong4,用,5,no,用韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,使用|功用|费用|需要|任用或采用,用：现代主要用于表示使用；功用；费用；需要；任用或采用。常见用法如：使用、作用、费用、用户、不用。,使用、施用，具体字源待复核。,使用|功用|费用|需要|任用或采用,用的形源解释分歧较大，第一版保守处理为功能/施行核心字。
088,吃,U+5403,吃|喫,,chi1|ji2,口,6,yes,迄韵一类,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,进食|吸收或消耗|承受|依靠某物生活|受骗或受损,吃：现代主要用于表示进食；吸收或消耗；承受；依靠某物生活；受骗或受损。常见用法如：吃饭、吃苦、吃亏、吃力、吃水。,口吃、言语结涩，进食义需结合“喫”等字考察。,进食|吸收或消耗|承受|依靠某物生活|受骗或受损,吃的现代义和古义差距很大，是古今词义替换的重要样板。
089,拿,U+62FF,拿|拏,,na2,手,10,no,麻韵一类，待复核,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,用手取|抓捕|掌握|用某种方式对待|刁难,拿：现代主要用于表示用手取；抓捕；掌握；用某种方式对待；刁难。常见用法如：拿走、拿来、捉拿、拿手、拿主意。,用手取物，具体字源待复核。,用手取|抓捕|掌握|用某种方式对待|刁难,拿是现代高频口语动词，但历史层资料需补强。
090,放,U+653E,放,,fang4,攵,8,no,漾韵、养韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,放置|释放|发出|开放|放任,放：现代主要用于表示放置；释放；发出；开放；放任。常见用法如：放下、释放、开放、放学、放心。,驱逐、放逐。,放置|释放|发出|开放|放任,放的“放置”义和“放逐/释放”义应分层，现代用法扩展很大。
