id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
149,有,U+6709,有,,you3,月,6,no,有韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,存在|拥有|具有|发生|表示估量或不确定,有：现代主要用于表示存在；拥有；具有；发生；表示估量或不确定。常见用法如：有无、拥有、有用、有时、有些。,持有、拥有。,存在|拥有|具有|发生|表示估量或不确定,有的构形解释复杂，但存在/拥有义稳定，是语义库的存在算子核心。
150,无,U+65E0,无|無,U+7121,wu2|mo2,无,4,no,虞韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,没有|不存在|不|无论|未,无：现代主要用于表示没有；不存在；不；无论；未。常见用法如：有无、无论、无法、无知、无数。,舞蹈相关，本义与现代无有义分离。,没有|不存在|不|无论|未,无/無是假借和简化的重点样板，必须保留本义与现代义分离。
151,是,U+662F,是,,shi4,日,9,no,纸韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,判断词|正确|这或此|表示肯定,是：现代主要用于表示判断词；正确；这或此；表示肯定。常见用法如：是非、是否、于是、正是、可是。,正、正确。,判断词|正确|这或此|表示肯定,是从形容判断正确到现代系词，语法化过程重要。
152,非,U+975E,非,,fei1,非,8,no,微韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,不是|错误|责备|不合于|非常或必须,非：现代主要用于表示不是；错误；责备；不合于；非常或必须。常见用法如：是非、非常、非法、非要、非洲。,相背、违背。,不是|错误|责备|不合于|非常或必须,非是判断否定核心字，与不是/错误/违背三层义需分开。
153,不,U+4E0D,不,,bu4|fou3,一,4,yes,物韵、有韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,否定副词|表示拒绝或相反|用于构成疑问或反问,不：现代主要用于表示否定副词；表示拒绝或相反；用于构成疑问或反问。常见用法如：不是、不用、不行、不但、不然。,本义存在争议，现代否定义属假借主导。,否定副词|表示拒绝或相反|用于构成疑问或反问,不的现代变调和否定语法功能极重要，后续应单独建语法层。
154,可,U+53EF,可,,ke3|ke4,口,5,no,哿韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,可以|许可|值得|适合|表示约略或转折,可：现代主要用于表示可以；许可；值得；适合；表示约略或转折。常见用法如：可以、可是、可爱、可靠、可见。,许可、认可，具体语源需复核。,可以|许可|值得|适合|表示约略或转折,可是现代转折连词义很晚，应与许可/可能义分开。
155,能,U+80FD,能,,neng2|nai2,月,10,no,登韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,能够|能力|能量|擅长|胜任,能：现代主要用于表示能够；能力；能量；擅长；胜任。常见用法如：能力、能够、能量、才能、不能。,熊类动物一类，后假借为能力。,能够|能力|能量|擅长|胜任,能是本义和现代核心义分离的重点样板。
156,好,U+597D,好,,hao3|hao4,女,6,no,皓韵、号韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,优良|使人满意|喜爱|容易|表示完成或应允,好：现代主要用于表示优良；使人满意；喜爱；容易；表示完成或应允。常见用法如：好坏、很好、爱好、好学、做好。,美好、亲爱。,优良|使人满意|喜爱|容易|表示完成或应允,好 hao3 与 hao4 音义分流需单列；构形解释避免过度现代化阐释。
157,坏,U+574F,壞|坏,U+58DE,huai4|pi1,土,7,no,怪韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,不好|损坏|败坏|恶劣|使坏,坏：现代主要用于表示不好；损坏；败坏；恶劣；使坏。常见用法如：好坏、坏人、损坏、坏事、破坏。,壞：毁坏、败坏；坏另字古义需复核。,不好|损坏|败坏|恶劣|使坏,坏/壞是简化合并样板，古‘坏’与繁体‘壞’不可混同。
158,善,U+5584,善,,shan4,口,12,no,獮韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,善良|好|擅长|友好|妥善,善：现代主要用于表示善良；好；擅长；友好；妥善。常见用法如：善良、善恶、完善、善于、友善。,美好、吉善。,善良|好|擅长|友好|妥善,善与羊、美、义等文化评价字有系统关联。
159,恶,U+6076,惡|恶,U+60E1,e4|wu4|e3|wu1,心,10,yes,铎韵、暮韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,坏或凶恶|罪恶|厌恶|恶心|疑问感叹用法,恶：现代主要用于表示坏或凶恶；罪恶；厌恶；恶心；疑问感叹用法。常见用法如：善恶、恶人、厌恶、恶心、可恶。,不善、丑恶或厌恶情感。,坏或凶恶|罪恶|厌恶|恶心|疑问感叹用法,恶 e4/wu4/e3 多音义复杂，是情感评价与道德评价交叉样板。
160,美,U+7F8E,美,,mei3,羊,9,no,旨韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,美丽|美好|令人满意|赞美|美国或美洲简称,美：现代主要用于表示美丽；美好；令人满意；赞美；美国或美洲简称。常见用法如：美丽、美好、审美、赞美、美国。,美好、味美或形美，具体构形解释有多说。,美丽|美好|令人满意|赞美|美国或美洲简称,美的构形有羊大、装饰人形等说，应保守处理。
161,丑,U+4E11,丑|醜,U+919C,chou3,一,4,no,有韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,丑陋|地支第二位|羞耻|戏曲角色,丑：现代主要用于表示丑陋；地支第二位；羞耻；戏曲角色。常见用法如：美丑、丑陋、小丑、丑时、出丑。,丑：地支第二位或手形相关；醜：丑陋、可恶。,丑陋|地支第二位|羞耻|戏曲角色,丑/醜是简化合并的关键样板，现代丑陋义不可直接回推到丑本字。
162,真,U+771F,真,,zhen1,目,10,no,真韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,真实|确实|真诚|清楚|本质,真：现代主要用于表示真实；确实；真诚；清楚；本质。常见用法如：真假、真实、认真、真心、真正。,真实、本真，具体字源需复核。,真实|确实|真诚|清楚|本质,真字说文解释与现代真实义距离较大，需重点复核。
163,假,U+5047,假,,jia3|jia4,亻,11,no,马韵、祃韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,不真实|借用|假设|暂时|休假,假：现代主要用于表示不真实；借用；假设；暂时；休假。常见用法如：真假、假如、假期、假借、虚假。,借、凭借。,不真实|借用|假设|暂时|休假,假 jia3/jia4 音义分流明显，假期义需独立。
164,新,U+65B0,新,,xin1,斤,13,no,真韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,新的|新近|更新|新鲜|刚出现,新：现代主要用于表示新的；新近；更新；新鲜；刚出现。常见用法如：新旧、新闻、新鲜、更新、重新。,新砍的木柴或新近之物，具体字源需复核。,新的|新近|更新|新鲜|刚出现,新从具体取木到抽象更新，适合做语义抽象化样板。
165,旧,U+65E7,舊,U+820A,jiu4,日,5,no,宥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,旧的|从前的|原来的|旧交|陈旧,旧：现代主要用于表示旧的；从前的；原来的；旧交；陈旧。常见用法如：新旧、旧书、旧友、依旧、旧时。,旧有、从前，构形需复核。,旧的|从前的|原来的|旧交|陈旧,旧/舊构形复杂且简化幅度大，第一版保守处理现代义。
166,多,U+591A,多,,duo1,夕,6,no,歌韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数量多|超过|过分|多么|多余,多：现代主要用于表示数量多；超过；过分；多么；多余。常见用法如：多少、很多、多年、多么、多余。,数量多。,数量多|超过|过分|多么|多余,多和少是数量评价核心对。
167,少,U+5C11,少,,shao3|shao4,小,4,no,小韵、笑韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数量少|缺少|稍微|年轻|少年,少：现代主要用于表示数量少；缺少；稍微；年轻；少年。常见用法如：多少、少数、缺少、少年、少量。,数量少。,数量少|缺少|稍微|年轻|少年,少 shao3/shao4 音义分流需与幼、老、年连读。
168,重,U+91CD,重,,zhong4|chong2,里,9,no,用韵、钟韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,重量大|程度深|重要|重视|重复,重：现代主要用于表示重量大；程度深；重要；重视；重复。常见用法如：轻重、重要、重视、重新、重复。,重量大、沉重。,重量大|程度深|重要|重视|重复,重 zhong4/chong2 分别指重量/重要与重复，应拆义。
169,轻,U+8F7B,輕,U+8F15,qing1,车,9,no,清韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,重量小|程度浅|轻松|轻率|轻视,轻：现代主要用于表示重量小；程度浅；轻松；轻率；轻视。常见用法如：轻重、轻松、轻视、年轻、轻微。,重量小、轻便。,重量小|程度浅|轻松|轻率|轻视,轻/輕与重成对，繁简差异明确。
