id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
170,爱,U+7231,愛,U+611B,ai4,爫,10,no,代韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,爱慕或爱情|喜爱|爱护|珍惜|容易发生,爱：现代主要用于表示爱慕或爱情；喜爱；爱护；珍惜；容易发生。常见用法如：爱心、爱情、爱护、喜爱、爱好。,亲爱、怜惜。,爱慕或爱情|喜爱|爱护|珍惜|容易发生,爱/愛简化后去心，情感核心部件在形体上被弱化，需图示。
171,恨,U+6068,恨,,hen4,忄,9,no,恨韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,怨恨|仇恨|遗憾|悔恨,恨：现代主要用于表示怨恨；仇恨；遗憾；悔恨。常见用法如：仇恨、恨不得、痛恨、悔恨、遗恨。,怨恨、遗憾。,怨恨|仇恨|遗憾|悔恨,恨的古义含遗憾，现代多偏强烈怨怼，应分层。
172,喜,U+559C,喜,,xi3,口,12,no,止韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,高兴|喜欢|可庆的事|吉庆,喜：现代主要用于表示高兴；喜欢；可庆的事；吉庆。常见用法如：喜欢、喜悦、喜事、欢喜、喜庆。,欢乐、高兴。,高兴|喜欢|可庆的事|吉庆,喜与乐、欢、悦可组成正向情感小组。
173,怒,U+6012,怒,,nu4,心,9,no,暮韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,愤怒|气势猛烈|奋起或奋发,怒：现代主要用于表示愤怒；气势猛烈；奋起或奋发。常见用法如：愤怒、怒气、发怒、怒吼、怒放。,愤怒。,愤怒|气势猛烈|奋起或奋发,怒的情绪义与强盛义之间有气势转喻。
174,哀,U+54C0,哀,,ai1,口,9,no,咍韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,悲伤|悼念|怜悯|哀求,哀：现代主要用于表示悲伤；悼念；怜悯；哀求。常见用法如：哀伤、悲哀、哀悼、哀求、哀乐。,悲伤、哀哭。,悲伤|悼念|怜悯|哀求,哀是悲伤与怜悯交叉字，应与悲、忧分层。
175,乐,U+4E50,樂,U+6A02,le4|yue4,丿,5,yes,铎韵、觉韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,快乐|音乐|乐于|喜好,乐：现代主要用于表示快乐；音乐；乐于；喜好。常见用法如：快乐、音乐、乐观、娱乐、乐意。,音乐、乐器。,快乐|音乐|乐于|喜好,乐 le4/yue4 分别偏快乐与音乐，是音义分化重点。
176,思,U+601D,思,,si1|si4,心,9,no,之韵、志韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,思考|想念|思想|思路|情思,思：现代主要用于表示思考；想念；思想；思路；情思。常见用法如：思想、思考、思念、意思、沉思。,思考、思虑。,思考|想念|思想|思路|情思,思连接心与脑，是心理认知系统核心字。
177,想,U+60F3,想,,xiang3,心,13,no,养韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,思考|想念|希望|打算|推测,想：现代主要用于表示思考；想念；希望；打算；推测。常见用法如：想法、想念、思想、想象、梦想。,想念、思念。,思考|想念|希望|打算|推测,想是后起高频心理动词，历史层不宜硬上推甲骨。
178,念,U+5FF5,念,,nian4,心,8,no,添韵去声系统,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,想念|诵读|念头|记住或纪念,念：现代主要用于表示想念；诵读；念头；记住或纪念。常见用法如：思念、念书、怀念、纪念、念头。,想念、挂念。,想念|诵读|念头|记住或纪念,念的记忆、诵读、佛教义需分层。
179,知,U+77E5,知,,zhi1|zhi4,矢,8,no,支韵、寘韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,知道|知识|觉察|主管|交好或相知,知：现代主要用于表示知道；知识；觉察；主管；交好或相知。常见用法如：知道、知识、通知、知觉、知己。,知道、了解。,知道|知识|觉察|主管|交好或相知,知是认知核心字，需与识、觉、智建立关联。
180,觉,U+89C9,覺,U+89BA,jue2|jiao4,见,9,yes,觉韵、效韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,感觉|觉察|觉悟|睡觉,觉：现代主要用于表示感觉；觉察；觉悟；睡觉。常见用法如：感觉、知觉、觉悟、睡觉、发觉。,觉察、醒悟。,感觉|觉察|觉悟|睡觉,觉 jue2/jiao4 分属知觉与睡眠义，必须拆分。
181,意,U+610F,意,,yi4,心,13,no,志韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,意思|心意|意图|意料|情趣,意：现代主要用于表示意思；心意；意图；意料；情趣。常见用法如：意思、意义、注意、意见、意外。,心中所想。,意思|心意|意图|意料|情趣,意和志、心、言关系密切，适合建立心理意向层。
182,志,U+5FD7,志|誌,,zhi4,心,7,no,志韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,志向|意志|记载|标记|姓氏,志：现代主要用于表示志向；意志；记载；标记；姓氏。常见用法如：志气、意志、志愿、杂志、标志。,心之所向，志向。,志向|意志|记载|标记|姓氏,志/誌简化合并后，志向义和记载义需分层。
183,信,U+4FE1,信,,xin4|shen1,亻,9,no,震韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,相信|诚信|消息|书信|凭证或信号,信：现代主要用于表示相信；诚信；消息；书信；凭证或信号。常见用法如：相信、信心、诚信、信息、书信。,言语真实可信。,相信|诚信|消息|书信|凭证或信号,信是语言、社会信用、信息系统之间的桥字。
184,疑,U+7591,疑,,yi2,疋,14,no,之韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,怀疑|疑问|疑似|迟疑,疑：现代主要用于表示怀疑；疑问；疑似；迟疑。常见用法如：怀疑、疑问、可疑、疑惑、迟疑。,迟疑、不决。,怀疑|疑问|疑似|迟疑,疑是信的反向认知状态，构形复杂需图像复核。
185,怕,U+6015,怕,,pa4,忄,8,no,祃韵一类,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,害怕|担心|恐怕|表示推测,怕：现代主要用于表示害怕；担心；恐怕；表示推测。常见用法如：害怕、恐怕、不怕、怕事、怕冷。,害怕、恐惧。,害怕|担心|恐怕|表示推测,怕的推测语气‘恐怕’是情绪词语法化例子。
